index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,line,0,0,1766.0791,2312.9912
0,line,1,0,2589.1006,2100.5986
1,line,0,0,1983.782,2822.7346
1,line,1,0,2599.7217,2169.6272
2,line,0,1,2105.5325,1572.9619
2,line,1,1,2933.8635,2762.3606
3,line,0,2,2843.5278,1358.0826
3,line,1,2,1930.2334,2451.906
4,line,0,2,1871.8296,2175.796
4,line,1,2,2031.124,3131.5642
5,line,0,2,1903.6885,2733.3276
5,line,1,2,1526.6906,3189.9717
6,line,0,2,1972.7163,2839.5242
6,line,1,2,1765.6327,2908.5518
7,line,0,3,2734.2634,914.38086
7,line,1,3,3408.6099,1333.8572
8,line,0,3,2463.4622,1870.1495
8,line,1,3,2171.4224,2809.9888
9,line,0,3,2065.2253,2544.4976
9,line,1,3,2383.8145,3293.1816
10,line,0,4,897.42413,2674.9458
10,line,1,4,1694.2595,2976.4565
11,line,0,4,1681.3365,2989.3723
11,line,1,4,2146.516,3200.425
12,line,0,4,3167.3245,357.66617
12,line,1,4,2271.4246,2550.038
13,line,0,4,1939.7693,2183.9238
13,line,1,4,2895.97,2183.9238
14,line,0,4,2482.478,2015.9425
14,line,1,4,1931.1558,2115.0095
15,line,0,4,2551.3933,1731.6666
15,line,1,4,2219.738,2028.8645
16,line,0,4,2831.362,241.37146
16,line,1,4,3029.4937,659.171
17,line,0,4,2883.0486,990.82623
17,line,1,4,2452.329,947.75433
18,line,0,4,2788.29,60.468586
18,line,1,4,2624.6162,637.6349
19,line,0,4,2921.8135,69.08301
19,line,1,4,2753.8318,616.09875
20,line,0,5,1038.1658,1032.095
20,line,1,5,1945.1045,1638.6139
21,line,0,5,1945.1045,1638.6102
21,line,1,5,2163.3362,2097.748
22,line,0,5,1755.2141,1547.9163
22,line,1,5,1939.437,2097.7485
23,line,0,5,1939.4362,2097.748
23,line,1,5,1896.9235,2794.958
24,line,0,5,1511.4744,2307.4775
24,line,1,5,2520.4446,2854.478
25,line,0,5,1780.7218,2452.021
25,line,1,5,1568.1578,3469.49
26,line,0,5,1690.028,2205.447
26,line,1,5,1690.028,2656.0825
27,line,0,6,1045.0055,1309.1991
27,line,1,6,2805.938,3279.765
28,line,0,6,1694.8733,809.5695
28,line,1,6,1404.8787,1302.2115
29,line,0,6,1195.2437,1256.7904
29,line,1,6,1153.3174,2000.9934
30,line,0,7,1610.0477,1011.3946
30,line,1,7,1844.1396,1629.8171
31,line,0,7,1921.006,857.6624
31,line,1,7,1872.0917,2405.467
32,line,0,7,1872.0912,2405.4658
32,line,1,7,1631.0112,3429.1826
33,line,0,7,1921.006,2639.558
33,line,1,7,1728.8411,3404.7249
34,line,0,7,1662.4564,2639.558
34,line,1,7,2036.3048,3547.9766
35,line,0,7,2165.5798,3132.1997
35,line,1,7,1791.7329,4068.5715
36,line,0,7,1442.3398,3764.598
36,line,1,7,1858.1155,3817.0063
37,line,0,7,2804.4915,1235.4982
37,line,1,7,2757.1123,1700.6769
38,line,0,8,1249.9058,1069.5677
38,line,1,8,1180.8778,2051.8857
39,line,0,8,1180.878,2051.8857
39,line,1,8,1010.96375,2641.2766
40,line,0,8,2497.7148,2285.518
40,line,1,8,1738.4075,3262.527
41,line,0,8,1387.9613,3204.118
41,line,1,8,2280.0122,2758.0935
42,line,0,8,2280.012,2758.0925
42,line,1,8,3012.7688,2593.4883
43,line,0,8,2205.6746,2837.74
43,line,1,8,1860.5361,3522.707
44,line,0,9,1797.3041,1026.5564
44,line,1,9,1462.785,2757.5596
45,line,0,10,1010.76556,124.32557
45,line,1,10,1971.8438,1096.0239
46,line,0,10,3224.9631,926.1093
46,line,1,10,2327.6023,1542.0488
47,line,0,10,2741.7688,904.87
47,line,1,10,3283.3704,1488.9512
48,line,0,11,2299.293,1116.8451
48,line,1,11,1587.7756,1568.1804
49,line,0,11,982.45605,1562.8705
49,line,1,11,1178.9198,2189.4304
50,line,0,11,1030.2445,1578.7999
50,line,1,11,1232.0181,1870.8401
51,line,0,11,1232.018,1870.8403
51,line,1,11,1470.9598,3070.8616
52,line,0,11,1019.6249,2476.1606
52,line,1,11,1948.8444,3155.8184
53,line,0,11,1322.2849,2476.1606
53,line,1,11,1051.4844,2885.018
54,line,0,12,2992.6401,1695.6465
54,line,1,12,2275.8125,1870.8704
55,line,0,12,1484.6494,1722.1957
55,line,1,12,2535.995,1992.9968
56,line,0,12,3151.9348,814.21533
56,line,1,12,3178.4841,1270.8602
57,line,0,12,2987.3303,3527.5366
57,line,1,12,3470.524,3968.2524
58,line,0,13,1828.6776,1371.9451
58,line,1,13,2439.3074,2157.7996
59,line,0,13,2439.3076,2157.7993
59,line,1,13,2619.8413,2540.1072
60,line,0,13,2221.6047,2035.6733
60,line,1,13,1839.2969,2184.3489
61,line,0,13,1839.2972,2189.6582
61,line,1,13,1345.4836,2078.152
62,line,0,13,628.6569,2890.5554
62,line,1,13,464.05243,3272.863
63,line,0,13,464.0523,3278.1726
